dataset,method,contraction,node_num,session_memory,train_memory,epoch_time,val_acc,val_f1,val_sens,val_spec,test_acc,test_f1,test_sens,test_spec
Flickr,QSIGN,EC,493,1050.2509765625,258.03271484375,nan,0.280028684116171,0.280028684116171,0.280028684116171,0.880004780686028,0.293461210953256,0.293461210953256,0.293461210953256,0.882243535158876
Flickr,QSIGN,EC,1007,1051.22900390625,259.21533203125,nan,0.2867067049121549,0.2867067049121549,0.2867067049121549,0.8811177841520258,0.30654775243131804,0.30654775243131804,0.30654775243131804,0.8844246254052197
Flickr,QSIGN,EC,1499,1051.22900390625,260.33984375,nan,0.18931516672642523,0.18931516672642523,0.18931516672642523,0.8648858611210709,0.21072917133509614,0.21072917133509614,0.21072917133509614,0.8684548618891826
Flickr,QSIGN,EC,2004,1051.22900390625,261.4990234375,nan,0.23234134098243098,0.23234134098243098,0.23234134098243098,0.8720568901637386,0.25684578496840405,0.25684578496840405,0.25684578496840405,0.8761409641614006
Flickr,QSIGN,EC,2998,1051.22900390625,264.4248046875,nan,0.27209573323771963,0.27209573323771963,0.27209573323771963,0.8786826222062866,0.2868283063684847,0.2868283063684847,0.2868283063684847,0.8811380510614141
Flickr,QSIGN,EC,4003,1051.22900390625,266.09033203125,nan,0.26021871638580135,0.26021871638580135,0.26021871638580135,0.8767031193976336,0.2805987540895442,0.2805987540895442,0.2805987540895442,0.8800997923482574
Flickr,QSIGN,EC,6000,1051.22900390625,270.93701171875,nan,0.3720419505198996,0.3720419505198996,0.3720419505198996,0.89534032508665,0.3831398736162775,0.3831398736162775,0.3831398736162775,0.8971899789360462
Flickr,QSIGN,EC,7997,1050.2509765625,275.26123046875,nan,0.3107296522050914,0.3107296522050914,0.3107296522050914,0.8851216087008486,0.32510195849952944,0.32510195849952944,0.32510195849952944,0.8875169930832549
Flickr,QSIGN,EC,9988,1051.22900390625,279.83056640625,nan,0.31561491574040873,0.31561491574040873,0.31561491574040873,0.8859358192900681,0.31730381392013624,0.31730381392013624,0.31730381392013624,0.8862173023200227
Flickr,QSIGN,EC,15003,1049.6962890625,318.7177734375,nan,0.27680172104697026,0.27680172104697026,0.27680172104697026,0.8794669535078283,0.28494599560794154,0.28494599560794154,0.28494599560794154,0.8808243326013236
Flickr,QSIGN,EC,20005,1048.5634765625,360.1884765625,nan,0.2585604159196845,0.2585604159196845,0.2585604159196845,0.876426735986614,0.25594944651100254,0.25594944651100254,0.25594944651100254,0.8759915744185004
Flickr,QSIGN,EC,29996,1048.5634765625,443.080078125,nan,0.2592775188239512,0.2592775188239512,0.2592775188239512,0.8765462531373253,0.25760767265719536,0.25760767265719536,0.25760767265719536,0.8762679454428659
